Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
3T Biosciences,https://www.crunchbase.com/organization/3t-biosciences,"Biopharma, Biotechnology, Health Care","Menlo Park, California, United States","3T Biosciences is an immunotherapy company headquartered in Menlo Park, California.",,,http://www.3tbiosciences.com,For Profit,2,Seed,"$12,000,000",2017-10-04,Seed,"$12,000,000","Biotechnology, Health Care, Science and Engineering",Private
Darmiyan,https://www.crunchbase.com/organization/darmiyan,"Biotechnology, Health Care, Health Diagnostics, Medical","San Francisco, California, United States",Darmiyan is developing a software platform that detects Alzheimer’s disease up to fifteen years before symptoms. ,info@darmiyan.com,,https://www.darmiyan.com/,For Profit,4,Seed,"$3,080,000",2017-10-01,Seed,"$3,200,000","Biotechnology, Health Care, Science and Engineering",Private
Nura,https://www.crunchbase.com/organization/nura-3,"Biotechnology, Hardware, Music, Wearables","Melbourne, Victoria, Australia","Nura is a Melbourne-based team of experts in engineering, acoustics, biology, hearing science and product delivery.",,,https://www.nuraphone.com/,For Profit,5,Seed,"$4,600,000",2017-02-13,Seed,"$7,227,643","Biotechnology, Consumer Electronics, Hardware, Media and Entertainment, Music and Audio, Science and Engineering",Private
Kura Technologies ,https://www.crunchbase.com/organization/aurora-tech-inc,"Artificial Intelligence, Augmented Reality, Biotechnology, Electronics, Hardware, Manufacturing, Optical Communication, Semiconductor, Software","San Francisco, California, United States",Kura Technologies is an augmented reality company focused on building the next generation AR optics/display module.,hello@kura.tech,(330) 998-8159,http://kura.tech,For Profit,1,Seed,"$1,500,000",2017-02-28,Seed,"$1,500,000","Artificial Intelligence, Biotechnology, Consumer Electronics, Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",Private
LabGenius,https://www.crunchbase.com/organization/labgenius,"Advanced Materials, Artificial Intelligence, Biotechnology, Machine Learning, Robotics, Therapeutics","London, England, United Kingdom",Harnessing evolution with AI to develop radically new protein materials and components.,hi@labgeni.us,,http://www.labgeni.us,For Profit,1,Seed,"$3,660,000",2017-11-24,Seed,"$3,660,000","Artificial Intelligence, Biotechnology, Data and Analytics, Hardware, Health Care, Manufacturing, Science and Engineering, Software",Private
BRAINCONTROL,https://www.crunchbase.com/organization/brain-control,"Biotechnology, Health Care, Information Technology","Siena, Toscana, Italy",BrainControl is a platform based on Artificial Intelligence for human-machine interaction through bio-feedback,info@braincontrol.it,+39 0577 1916187,http://www.braincontrol.com/,For Profit,1,Seed,"€2,500,000",2018-06-13,Seed,"€2,500,000","Biotechnology, Health Care, Information Technology, Science and Engineering",Private
Shield Diagnostics,https://www.crunchbase.com/organization/tl-biolabs,"Biotechnology, Genetics, Health Diagnostics","Santa Clara, California, United States",ShieldDX - fighting antibiotic resistance with genomics.,info@shielddx.com,(669)201-0321,http://shielddx.com,For Profit,1,Seed,"$4,000,000",2017-02-23,Seed,"$4,000,000","Biotechnology, Health Care, Science and Engineering",Private
Clora,https://www.crunchbase.com/organization/clora,"Biotechnology, Consulting, Life Science, Marketplace, Medical Device, Pharmaceutical","Cambridge, Massachusetts, United States","Clora is an intelligent platform that matches life science companies with flexible, on-demand expertise.",,,https://clora.com/,For Profit,1,Seed,"$3,300,000",2017-12-07,Seed,"$3,300,000","Biotechnology, Commerce and Shopping, Health Care, Science and Engineering",Private
Wild Type,https://www.crunchbase.com/organization/wild-type,"AgTech, Biotechnology, Food and Beverage","San Francisco, California, United States","Wild Type is an agtech platform based in San Francisco, California.",info@thewildtype.com,,https://www.thewildtype.com/,,1,Seed,"$3,500,000",2018-03-30,Seed,"$3,500,000","Agriculture and Farming, Biotechnology, Food and Beverage, Science and Engineering",Private
PicnicHealth,https://www.crunchbase.com/organization/picnichealth,"Artificial Intelligence, Big Data, Biotechnology, Data Visualization, Health Care, Machine Learning, Medical, Pharmaceutical, SaaS, Software","San Francisco, California, United States",PicnicHealth puts patients in control of their health by collecting and digitizing their medical records into a PicnicHealth timeline. ,anything@picnichealth.com,(415) 801-0572,https://picnichealth.com/,For Profit,2,Seed,"$2,000,000",2015-04-02,Seed,"$2,000,000","Artificial Intelligence, Biotechnology, Data and Analytics, Design, Health Care, Information Technology, Science and Engineering, Software",Private
"Allevi, formely know as BioBots",https://www.crunchbase.com/organization/biobots,"3D Printing, Biotechnology, Robotics","Philadelphia, Pennsylvania, United States",Build with Life,info@allevi3d.com,,http://www.allevi3d.com,For Profit,5,Seed,,2016-06-07,Seed,"$2,810,000","Biotechnology, Hardware, Manufacturing, Science and Engineering, Software",Private
Future Meat Technologies,https://www.crunchbase.com/organization/future-meat-technologies,"Biotechnology, Manufacturing","Jerusalem, Yerushalayim, Israel",Future Meat Technologies is a biotechnology lab-grown meat company.,,,https://www.future-meat.com/,For Profit,1,Seed,"$2,200,000",2018-05-02,Seed,"$2,200,000","Biotechnology, Manufacturing, Science and Engineering",Private
Geltor,https://www.crunchbase.com/organization/geltor,"Advanced Materials, Biotechnology","San Leandro, California, United States",Geltor is a biotechnology company that designs and builds texture-defining materials.,info@geltor.com,,http://www.geltor.com/,For Profit,2,Seed,"$2,250,000",2016-02-01,Seed,"$2,500,000","Biotechnology, Manufacturing, Science and Engineering",Private
Biobot Analytics,https://www.crunchbase.com/organization/biobot-analytics,"Analytics, Biotechnology, GovTech","Cambridge, Massachusetts, United States",Biobot Analytics analyzes city sewage to estimate opioid consumption.,hello@biobot.io,,http://www.biobot.io/,For Profit,3,Seed,"$2,005,000",2018-04-30,Seed,"$2,470,000","Biotechnology, Data and Analytics, Government and Military, Information Technology, Science and Engineering",Private
X-ZELL,https://www.crunchbase.com/organization/x-zell,"Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device","Sunnyvale, California, United States",X-ZELL is a fully integrated biotechnology company specialising in rare cell detection technology.,info@x-zell.com,+66 2 087 8499,http://www.x-zell.com,For Profit,4,Seed,"$750,000",2018-05-01,Seed,"$2,330,000","Biotechnology, Health Care, Science and Engineering",Private
Inkbox,https://www.crunchbase.com/organization/inkbox,"Biotechnology, Consumer, Fashion, Lifestyle","Toronto, Ontario, Canada",inkbox provides customers with the ability to have the look & feel of a traditional tattoo for 2 weeks.,,,http://inkbox.com/,For Profit,2,Seed,"$1,000,000",2016-07-21,Seed,"$1,216,545","Biotechnology, Clothing and Apparel, Community and Lifestyle, Design, Science and Engineering",Private
Kronos Bio,https://www.crunchbase.com/organization/kronos-bio,"Biotechnology, Chemical, Therapeutics","New York, New York, United States",Kronos Bio is dedicated to the research and development of first-in-class therapies that modulate historically recalcitrant cancer targets.,info@kronosbio.com,,http://www.kronosbio.com/,For Profit,1,Seed,"$18,000,000",2018-05-23,Seed,"$18,000,000","Biotechnology, Health Care, Science and Engineering",Private
Sequence Bio,https://www.crunchbase.com/organization/sequence-bio,"Analytics, Biotechnology, Genetics, Medical","St. John's, Newfoundland, Canada",Striving to cure disease and transform drug discovery by researching the one-of-a-kind genetic makeup in Newfoundland & Labrador. ,team@sequencebio.com,800.296.3481,http://www.sequencebio.com,For Profit,2,Seed,"$3,000,000",2016-08-03,Seed,"$4,000,000","Biotechnology, Data and Analytics, Health Care, Science and Engineering",Private
Aromyx,https://www.crunchbase.com/organization/aromyx,"Analytics, Artificial Intelligence, Big Data, Biotechnology, Machine Learning","Palo Alto, California, United States",Aromyx Corporation digitizes taste and smell - the 40% of sensory data never before measured.,sales@aromyx.com,(650) 430 8100,http://www.aromyx.com,For Profit,6,Seed,,2017-12-11,Seed,"$5,808,000","Artificial Intelligence, Biotechnology, Data and Analytics, Science and Engineering, Software",Private
LifeFuels,https://www.crunchbase.com/organization/lifefuels,"Biotechnology, Food and Beverage, Hardware, Health Care, Internet of Things, Wearables","Reston, Virginia, United States",LifeFuels is changing the way consumers approach hydration and nutrition by empowering them to create personalized beverages on the go.,Hello@lifefuels.co,,https://www.lifefuels.co,For Profit,1,Seed,"$5,000,000",2017-04-14,Seed,"$5,000,000","Biotechnology, Consumer Electronics, Food and Beverage, Hardware, Health Care, Internet Services, Science and Engineering",Private
QMENTA ,https://www.crunchbase.com/organization/mint-labs,"Big Data, Biotechnology, Cloud Computing, Health Care, Medical, Neuroscience","Boston, Massachusetts, United States",QMENTA is on a mission to help make brain diseases a thing of the past by using imaging to its full potential with computational analytics.,info@qmenta.com,+34933282007,http://www.qmenta.com,For Profit,9,Seed,"€3,000,000",2017-05-05,Seed,"$3,992,035","Biotechnology, Data and Analytics, Health Care, Internet Services, Science and Engineering, Software",Private
Akouos,https://www.crunchbase.com/organization/akouos,"Biotechnology, Health Diagnostics, Pharmaceutical","Boston, Massachusetts, United States",Akouos is a new biotechnology company focused on restoring and preserving hearing.,info@akouos.com,,https://www.akouos.com/,For Profit,1,Seed,"$7,500,000",2017-11-30,Seed,"$7,500,000","Biotechnology, Health Care, Science and Engineering",Private
Solugen,https://www.crunchbase.com/organization/solugen,"Biopharma, Biotechnology, GreenTech","Houston, Texas, United States",Solugen has developed a unique process for the synthesis of hydrogen peroxide inspired by principles of cancer biology.,g@solugen.co,(832)276-3616,https://www.solugentech.com/,For Profit,4,Seed,"$4,400,000",2017-10-24,Seed,"$4,400,000","Biotechnology, Health Care, Science and Engineering, Sustainability",Private
Cambridge Cancer Genomics,https://www.crunchbase.com/organization/cambridge-cancer-genomics,"Biotechnology, Health Care, Health Diagnostics","Cambridge, Cambridgeshire, United Kingdom",Cambridge Cancer Genomics is using blood tests to guide smarter cancer therapy.,info@ccg.ai,,http://ccg.ai,For Profit,2,Seed,"$120,000",2017-08-21,Seed,"$4,120,000","Biotechnology, Health Care, Science and Engineering",Private
Appili Therapeutics,https://www.crunchbase.com/organization/appili-therapeutics,"Biotechnology, Marketing, Therapeutics","Halifax, Nova Scotia, Canada",Canada-based anti-infective pharmaceutical development company,info@appilitherapeutics.com,(902)442-4655,http://www.appilitherapeutics.com/,For Profit,6,Seed,"$4,330,000",2018-02-07,Seed,"$16,296,483","Biotechnology, Health Care, Sales and Marketing, Science and Engineering",Private
ReviveMed,https://www.crunchbase.com/organization/revivemed,"Biotechnology, Health Care, Wellness","Cambridge, Massachusetts, United States",ReviveMed is a precision-medicine platform that leverages the data from small molecules or metabolites. ,info@revive-med.com,,http://revive-med.com,For Profit,1,Seed,"$1,500,000",2018-04-18,Seed,"$1,500,000","Biotechnology, Health Care, Science and Engineering",Private
Excision BioTherapeutics,https://www.crunchbase.com/organization/excision-biotherapeutics,"Biotechnology, Health Care, Therapeutics","Philadelphia, Pennsylvania, United States",A life science company.,info@excisionbio.com,,https://www.excisionbio.com/,For Profit,2,Seed,"$10,000,000",2017-09-06,Seed,"$20,000,000","Biotechnology, Health Care, Science and Engineering",Private
Osler Diagnostics,https://www.crunchbase.com/organization/osler-diagnostics,"Biotechnology, Health Care, Health Diagnostics, Life Science","Oxford, Oxfordshire, United Kingdom","A ground-breaking handheld diagnostic for testing a vast range of biomarkers, from a pinprick of blood, in <10 mins, for only a few dollars",osler@oslerdiagnostics.com,,http://oslerdiagnostics.com/,For Profit,1,Seed,"£2,000,000",2016-07-25,Seed,"£2,000,000","Biotechnology, Health Care, Science and Engineering",Private
Florence Healthcare,https://www.crunchbase.com/organization/florence-heathcare,"Biotechnology, Cloud Data Services, EdTech, Health Care, Hospital, Pharmaceutical","Atlanta, Georgia, United States",Florence advances clinical research through software by connecting trial sites with pharmaceutical sponsors.,,,http://florencehc.com/,For Profit,1,Seed,"$1,700,000",2016-08-02,Seed,"$1,700,000","Biotechnology, Education, Health Care, Information Technology, Internet Services, Science and Engineering, Software",Private
Episona,https://www.crunchbase.com/organization/episona-inc,"Biotechnology, Fertility, Genetics, Health Diagnostics, Medical","Pasadena, California, United States",Episona is an epigenetics data company focused on improving healthcare outcomes.,info@episona.com,(323) 522-5897,https://episona.com,For Profit,3,Seed,"$2,620,000",2017-06-06,Seed,"$3,995,000","Biotechnology, Health Care, Science and Engineering",Private
Contraline,https://www.crunchbase.com/organization/contraline,"Biotechnology, Medical, Pharmaceutical","Charlottesville, Virginia, United States","Contraline is developing the first long-lasting, reversible contraceptive for men ",admin@contraline.com,,http://www.contraline.com,For Profit,2,Seed,"$2,250,000",2017-03-31,Seed,"$2,930,000","Biotechnology, Health Care, Science and Engineering",Private
Genialis,https://www.crunchbase.com/organization/genialis,"Analytics, Bioinformatics, Biotechnology, Data Storage, Data Visualization, Genetics, Software","Houston, Texas, United States",Genialis develops a cloud-based visual analytics platform that enables scientists to develop the next generation of bioengineered therapies.,info@genialis.com,(832) 356-4612,http://www.genialis.com,For Profit,3,Seed,"$2,300,000",2017-11-13,Seed,"$2,491,319","Biotechnology, Data and Analytics, Design, Hardware, Health Care, Information Technology, Science and Engineering, Software",Private
Chai,https://www.crunchbase.com/organization/chai,"Biotechnology, Health Diagnostics, Life Science, Medical Device","Santa Clara, California, United States",Democratizing Biotechnology,info@chaibio.com,(650) 779-5577,https://www.chaibio.com,For Profit,2,Seed,"$2,000,000",2017-04-14,Seed,"$3,400,000","Biotechnology, Health Care, Science and Engineering",Private
Venture Catalysts,https://www.crunchbase.com/organization/venture-catalysts,"Advanced Materials, Biotechnology, Genetics, Hardware, Nanotechnology, Software","Matosinhos, Porto, Portugal",Venture Catalysts is a company focused on the creation of start-ups based on technological and scientific projects.,info@venture-catalysts.com,,http://www.venture-catalysts.com,For Profit,1,Seed,"$40,000",2011-06-13,Seed,"$40,000","Biotechnology, Hardware, Health Care, Manufacturing, Science and Engineering, Software",Private
SeqOnce Biosciences Inc,https://www.crunchbase.com/organization/seqonce-biosciences-inc,"Biotechnology, Manufacturing, Nanotechnology","Pasadena, California, United States","Next Generation Sequencing - sample preparation, Nanotechnology development",info@seqonce.com,626-460-3050,http://www.seqonce.com,For Profit,4,Seed,"$1,000,000",2018-05-08,Seed,"$1,455,000","Biotechnology, Manufacturing, Science and Engineering",Private
Gencove,https://www.crunchbase.com/organization/gencove-2,"Biotechnology, Genetics, Innovation Management","New York, New York, United States",Gencove's low-pass sequencing platforms delivers whole genome discovery at the cost of genotyping. ,support@gencove.com,(929)250-5502,https://www.gencove.com/,For Profit,1,Seed,"$1,000,000",2017-07-11,Seed,"$1,000,000","Biotechnology, Health Care, Science and Engineering",Private
Biome Makers,https://www.crunchbase.com/organization/biome-makers,"Agriculture, Bioinformatics, Biotechnology, Genetics, Machine Learning, Wine And Spirits","San Francisco, California, United States",Biome Makers is specialized in microbiome understanding to provide comprehensive analysis for agricultural and industrial processes.,info@biomemakers.com,(415)967-9423,http://www.biomemakers.com,For Profit,2,Seed,"$2,200,000",2016-10-19,Seed,"$2,300,000","Agriculture and Farming, Artificial Intelligence, Biotechnology, Data and Analytics, Food and Beverage, Health Care, Science and Engineering, Software",Private
Avro,https://www.crunchbase.com/organization/avro-life-science,"Biopharma, Biotechnology, Medical, Medical Device","Waterloo, Ontario, Canada","Avro Life Science is developing skin patches for generic drug delivery, focusing on therapeutics for children and the elderly.",contact@avrolifescience.com,,https://www.avrolifesci.com/,For Profit,5,Seed,"$120,000",2018-01-04,Seed,"$242,387","Biotechnology, Health Care, Science and Engineering",Private
Full Cycle Bioplastics,https://www.crunchbase.com/organization/full-cycle-bioplastics,"Advanced Materials, Biotechnology, CleanTech, Organic, Waste Management","Richmond, California, United States","We convert mixed organic wastes into polyhydroxyalkanoate (PHA), a cost competitive, compostable bioplastic.",busdev@fullcyclebioplastics.com,(530) 580-8695,http://fullcyclebioplastics.com/,For Profit,2,Seed,,2018-04-01,Seed,"$2,000,000","Biotechnology, Manufacturing, Science and Engineering, Sustainability",Private
BillionToOne,https://www.crunchbase.com/organization/billiontoone,"Biotechnology, Genetics, Health Care, Medical","Palo Alto, California, United States",BillionToOne's mission is to make prenatal testing safe and affordable for every expecting mother.,info@billiontoone.com,,https://www.billiontoone.com,For Profit,2,Seed,"$2,400,000",2017-09-15,Seed,"$2,520,000","Biotechnology, Health Care, Science and Engineering",Private
Ligandal,https://www.crunchbase.com/organization/ligandal-technology,"Biotechnology, Genetics, Nanotechnology","San Francisco, California, United States",Ligandal's mission is to cure diseases and enable precision medicine through next-generation nanoscale delivery solutions.,dre@ligandal.com,,http://www.ligandal.com,For Profit,5,Seed,,2017-05-31,Seed,"$844,000","Biotechnology, Health Care, Science and Engineering",Private
Nora Therapeutics,https://www.crunchbase.com/organization/nora-therapeutics,"Biotechnology, Health Care, Medical Device","Palo Alto, California, United States",Nora Therapeutics is a specialty biopharmaceutical company developing therapeutics to address clinical unmet needs in reproductive medicine.,info@noratherapeutics.com,(650)688-0818,http://www.noratherapeutics.com,For Profit,6,Seed,,2015-05-13,Seed,"$36,812,000","Biotechnology, Health Care, Science and Engineering",Private
New Wave Foods,https://www.crunchbase.com/organization/new-wave-foods,"Advanced Materials, Biotechnology","San Francisco, California, United States",New Wave Foods is the leader in sustainable seafood.,info@newwavefoods.com,818-783-0569,http://www.newwavefoods.com/,For Profit,4,Seed,,2018-02-21,Seed,"$250,000","Biotechnology, Manufacturing, Science and Engineering",Private
Apostle Inc,https://www.crunchbase.com/organization/apostle-inc,Biotechnology,"Sunnyvale, California, United States","At Apostle, we aim to develop technologies to fundamentally improve the efficiency and accuracy of liquid biopsy.",pr@apostlebio.com,,http://apostlebio.com,For Profit,1,Seed,"$2,350,000",2017-03-01,Seed,"$2,350,000","Biotechnology, Science and Engineering",Private
Boost Biomes,https://www.crunchbase.com/organization/boost-biomes,Biotechnology,"San Francisco, California, United States",Boost Biomes is a platform technology company.,info@boostbiomes.com,,http://boostbiomes.com/,,1,Seed,"$2,050,000",2018-02-27,Seed,"$2,050,000","Biotechnology, Science and Engineering",Private
Culture Robotics,https://www.crunchbase.com/organization/culture-robotics,"Biotechnology, Industrial Automation, Robotics","San Francisco, California, United States",Culture Robotics builds automated tools for fermentation.,hello@culturerobotics.com,,https://culturerobotics.com/,For Profit,1,Seed,"$120,000",2018-01-04,Seed,"$120,000","Biotechnology, Hardware, Manufacturing, Science and Engineering, Software",Private
Profility,https://www.crunchbase.com/organization/profility,"Biotechnology, Life Science","Boston, Massachusetts, United States","Profility offers support and training, process analysis, and software support description services, including requirements analysis.",info@profility.com,1(617) 429-9782,http://profility.com,For Profit,2,Seed,,2017-07-01,Seed,"$1,687,820","Biotechnology, Science and Engineering",Private
Kalocyte,https://www.crunchbase.com/organization/kalocyte,Biotechnology,"St Louis, Missouri, United States",A revolution in trauma care,,,http://kalocyte.com/wordpress/,,1,Seed,"$800,000",2018-06-05,Seed,"$800,000","Biotechnology, Science and Engineering",Private
Persephone Biome,https://www.crunchbase.com/organization/persephone-biome,"Biotechnology, Health Care, Medical","San Diego, California, United States",Persephone Biome is trying to retune the gut microbiome to help cancer drugs work.,,,http://persephonebiome.com/,For Profit,1,Seed,"$120,000",2018-01-04,Seed,"$120,000","Biotechnology, Health Care, Science and Engineering",Private
Monica Healthcare,https://www.crunchbase.com/organization/monica-healthcare,"Biotechnology, Health Care, Wearables","Nottingham, Nottingham, United Kingdom",Monica Healthcare is developing a series of wearable devices.,info@monicahealthcare.com,44 11 5912 4540,http://www.monicahealthcare.com,For Profit,4,M&A,"$3,000,000",2015-02-04,Seed,"$5,850,000","Biotechnology, Consumer Electronics, Hardware, Health Care, Science and Engineering",Private
Ribometrix,https://www.crunchbase.com/organization/ribometrix,"Biotechnology, Life Science, Pharmaceutical","Greenville, South Carolina, United States",Ribometrix is a platform therapeutics company that discovers small molecule drugs to treat human diseases. ,inquiries@ribometrix.com,(252) 551-1088,http://www.ribometrix.com/,,1,Seed,"$7,500,000",2017-10-31,Seed,"$7,500,000","Biotechnology, Health Care, Science and Engineering",Private
Keriton,https://www.crunchbase.com/organization/keriton,"Analytics, Biotechnology, Child Care, Health Care, Health Diagnostics, Internet of Things","Philadelphia, Pennsylvania, United States","NICU Feeding Management, Lactation Analytics & Patient Engagement",info@keriton.com,(215) 252-6186,https://www.keriton.com/,For Profit,2,Seed,"$1,000,000",2017-02-16,Seed,"$1,000,000","Biotechnology, Data and Analytics, Health Care, Internet Services, Science and Engineering",Private
ISOThrive,https://www.crunchbase.com/organization/isothrive,"Animal Feed, Biotechnology, Dietary Supplements, Nutrition, Personal Health, Wellness","Healdsburg, California, United States",Curating the microbiome to support human and animal health.  ,info@ISOThrive.com,(855)552-5572,https://www.isothrive.com/,For Profit,2,Seed,"$2,000,000",2015-07-25,Seed,"$3,400,000","Agriculture and Farming, Biotechnology, Food and Beverage, Health Care, Science and Engineering",Private
Correlia Biosystems,https://www.crunchbase.com/organization/correlia-biosystems,"Biotechnology, Health Care, Health Diagnostics, Life Science","San Francisco, California, United States",Rapid Diagnostics and Proteomics,info@correliabio.com,3109023612,http://www.correliabio.com,For Profit,5,Seed,"$120,000",2018-01-04,Seed,"$995,000","Biotechnology, Health Care, Science and Engineering",Private
Bikanta,https://www.crunchbase.com/organization/bikanta,"Biotechnology, Health Diagnostics, Nanotechnology","Berkeley, California, United States",Bikanta is introducing a revolutionary nanodiamond-based technology.,info@bikanta.com,510-402-6871,http://bikanta.com/,,1,Seed,"$1,700,000",2014-08-18,Seed,"$1,700,000","Biotechnology, Health Care, Science and Engineering",Private
Algama,https://www.crunchbase.com/organization/algama,"Biotechnology, Food and Beverage, Food Processing, Life Science","Paris, Ile-de-France, France",ALGAMA is a daily food product company that harnesses the unique potential of microalgae.,contact@algama.fr,,http://www.algamafoods.com,For Profit,4,Seed,"€3,500,000",2016-05-01,Seed,"€3,550,000","Biotechnology, Food and Beverage, Science and Engineering",Private
SyntheX,https://www.crunchbase.com/organization/synthex,"Biotechnology, Life Science, Pharmaceutical, Therapeutics","San Francisco, California, United States",SyntheX is a biotechnology firm developing highly specific drugs for previously undruggable targets to treat cancer and rare diseases.,info@synthexlabs.com,,http://www.synthexlabs.com/,For Profit,3,Seed,"$6,150,000",2017-03-01,Seed,"$6,400,000","Biotechnology, Health Care, Science and Engineering",Private
Hexafly,https://www.crunchbase.com/organization/hexafly,"Biotechnology, Organic, Sustainability","Kells, Meath, Ireland","Hexafly develops material sources from insect farming for aqua feed, chitin, and plant nutrition industries. ",,,http://www.hexafly.co/,For Profit,3,Seed,"€1,100,000",2018-02-14,Seed,"$2,694,124","Biotechnology, Science and Engineering, Sustainability",Private
Vena Medical,https://www.crunchbase.com/organization/vena-medical,"Biotechnology, Medical, Medical Device","Kitchener, Ontario, Canada",Vena Medical creating a forward viewing imaging microcatheter that allows physicians to see inside patient blood vessels.,founders@venamed.ca,,https://www.venamed.ca,For Profit,5,Seed,"$120,000",2018-01-04,Seed,"$222,612","Biotechnology, Health Care, Science and Engineering",Private
nextProtein,https://www.crunchbase.com/organization/nextprotein,"Agriculture, Animal Feed, Biotechnology, Waste Management","Paris, Ile-de-France, France",nextProtein is developing a new large scale technology that produce a sustainable source of protein.,contact@nextprotein.co,,http://www.nextprotein.co,For Profit,1,Seed,"€1,300,000",2017-01-24,Seed,"€1,300,000","Agriculture and Farming, Biotechnology, Science and Engineering, Sustainability",Private
Rex Animal Health,https://www.crunchbase.com/organization/rex-animal-health,"Bioinformatics, Biotechnology, Medical, Veterinary","Kansas City, Missouri, United States",Rex is take care animal health to the 21st century by making veterinary medicine and husbandry data driven.,hello@rexpethealth.com,,http://www.rexanimalhealth.com/,For Profit,3,Seed,,2017-06-21,Seed,"$145,000","Biotechnology, Data and Analytics, Health Care, Science and Engineering",Private
