Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
Accera,https://www.crunchbase.com/organization/accera,"Biotechnology, Health Care, Pharmaceutical","Broomfield, Colorado, United States",Accera is a biotechnology company engaged in the discovery and development of therapeutic drugs for neurodegenerative diseases.,info@accerapharma.com,(303) 999-3700,http://www.accerapharma.com,For Profit,5,Private Equity,"$79,081,610",2013-10-25,Private Equity,"$138,581,610","Biotechnology, Health Care, Science and Engineering",Private
"Joule Unlimited Technologies, Inc.",https://www.crunchbase.com/organization/joule-unlimited,"Biotechnology, CleanTech, Energy, Oil and Gas, Solar","Bedford, Massachusetts, United States",Joule Unlimited produces infrastructure-compatible alternative energy technologies that utilize sunlight and carbon dioxide.,info@jouleunlimited.com,781-533-9100,http://www.jouleunlimited.com,,4,Private Equity,"$40,000,000",2015-05-11,Private Equity,"$190,000,000","Biotechnology, Energy, Natural Resources, Science and Engineering, Sustainability",Private
"Alpha Genesis, Inc.",https://www.crunchbase.com/organization/alpha-genesis-inc,"Biopharma, Biotechnology, Medical, Pharmaceutical, Veterinary","Yemassee, South Carolina, United States",Alpha Genesis Inc. is a primate research center that provides high quality nonhuman primate products and bio-research services world-wide,info@alphagenesisinc.com,843-590-5190,http://www.alphagenesisinc.com,For Profit,4,Private Equity,"$125,000",2018-06-01,Private Equity,"$12,625,000","Biotechnology, Health Care, Science and Engineering",Private
Globavir,https://www.crunchbase.com/organization/globavir,"Biotechnology, Health Diagnostics, Therapeutics","Los Altos, California, United States",A New Approach to Treating Global Infectious Diseases,info@globavir.com,+116503514495,http://globavir.com,For Profit,3,Private Equity,"$1,500,000",2016-09-30,Private Equity,"$7,500,000","Biotechnology, Health Care, Science and Engineering",Private
Symphogen,https://www.crunchbase.com/organization/symphogen,"Biopharma, Biotechnology, Pharmaceutical","Lyngby, Hovedstaden, Denmark",Symphogen is a biotechnology company that produces recombinant polyclonal antibody drugs for disease treatment and prevention.,info@symphogen.com,45 45 26 50 50,http://www.symphogen.com,For Profit,10,Private Equity,"€67,500,000",2015-10-22,Debt Financing,"$375,215,122","Biotechnology, Health Care, Science and Engineering",Private
Pharmaron Holding,https://www.crunchbase.com/organization/pharmaron-holding,"Biotechnology, Chemical, Pharmaceutical","Irvine, California, United States",Pharmaron is a research and development service provider for the pharmaceutical industry.,bd@pharmaron.com,5025691048,http://www.pharmaron.com,For Profit,3,Private Equity,"$280,000,000",2015-12-14,Private Equity,"$320,000,000","Biotechnology, Health Care, Science and Engineering",Private
Nevakar,https://www.crunchbase.com/organization/nevakar,"Biopharma, Biotechnology, Pharmaceutical","Bridgewater, New Jersey, United States",Nevakar is a specialty pharmaceutical company.,info@nevakar.com,(908)367-7400,http://nevakar.com/,For Profit,1,Private Equity,"$55,000,000",2016-07-28,Private Equity,"$55,000,000","Biotechnology, Health Care, Science and Engineering",Private
Courtagen Life Sciences,https://www.crunchbase.com/organization/courtagen-life-sciences,"Biotechnology, Genetics, Health Diagnostics, Life Science","Woburn, Massachusetts, United States",Courtagen Life Sciences is a biotech company providing proteomic and genomic products and services to the life sciences industry.,info@courtagen.com,877-395-7608,http://www.courtagen.com,For Profit,8,Private Equity,"$20,000,000",2015-07-01,Private Equity,"$65,005,000","Biotechnology, Health Care, Science and Engineering",Private
Novel Therapeutic Technologies,https://www.crunchbase.com/organization/novel-therapeutic-technologies,"Biotechnology, Pharmaceutical, Therapeutics","Wilmington, Delaware, United States",Novel Therapeutic Technology develops practical drug delivery systems.,,302-571-1128,http://www.ntt-inc.com,,1,Private Equity,"$75,000,000",2011-12-19,Private Equity,"$75,000,000","Biotechnology, Health Care, Science and Engineering",Private
ProterixBio,https://www.crunchbase.com/organization/bioscale,"Biotechnology, Health Diagnostics, Pharmaceutical","Billerica, Massachusetts, United States",ProterixBio engages in developing innovative products to transform the management of chronic diseases.,info@proterixbio.com,+119789016700,https://proterixbio.com/,For Profit,9,Private Equity,"$18,800,000",2013-07-09,Private Equity,"$100,328,282","Biotechnology, Health Care, Science and Engineering",Private
Nuron Biotech,https://www.crunchbase.com/organization/nuron-biotech,"Biotechnology, Health Care, Medical","Exton, Pennsylvania, United States",Nuron Biotech develops vaccines and specialty biologics for the prevention and treatment of infectious and neurodegenerative diseases.,,610-968-6700,http://www.nuronbiotech.com,,2,Private Equity,"$22,705,658",2014-02-12,Private Equity,"$102,705,658","Biotechnology, Health Care, Science and Engineering",Private
Pentec Health,https://www.crunchbase.com/organization/pentec-health,"Biotechnology, Health Care, Health Diagnostics","Glen Mills, Pennsylvania, United States","Pentec Health, formerly Pentech Infusions, was founded in 1983. Pentech Infusions had become an established leader in providing IDPN and",,(800)223-4376,http://www.pentechealth.com,For Profit,1,Private Equity,"$37,000,000",2012-06-12,Private Equity,"$37,000,000","Biotechnology, Health Care, Science and Engineering",Private
Pharmaca,https://www.crunchbase.com/organization/pharmaca,"Biotechnology, Health Care, Medical","Boulder, Colorado, United States","Pharmaca offers traditional pharmacy services as well as holistic remedies, providing over-the-counter medicines and alternative remedies.",info@pharmaca.com,303-442-2304,http://www.pharmaca.com,For Profit,7,Private Equity,"$6,999,998",2017-02-08,Private Equity,"$70,193,776","Biotechnology, Health Care, Science and Engineering",Private
Allegro Ophthalmics,https://www.crunchbase.com/organization/allegro-ophthalmics,"Biotechnology, Health Care, Pharmaceutical","San Juan Capistrano, California, United States",Allegro Ophthalmics is dedicated to delivering and establishing Integrin Peptide TherapyTM.,info@allegropharma.com,+94994081305,http://www.allegroeye.com/#,For Profit,3,Private Equity,"$10,700,000",2017-07-24,Private Equity,"$32,700,000","Biotechnology, Health Care, Science and Engineering",Private
Actagro,https://www.crunchbase.com/organization/actagro,"Agriculture, Biotechnology, Manufacturing","Fresno, California, United States","Actagro is a premier developer, manufacturer, and marketer of environmentally sustainable soil and plant health technology solutions.",info@actagro.com,+5593692222,http://www.actagro.com/,For Profit,1,Private Equity,"$30,300,000",2012-01-03,Private Equity,"$30,300,000","Agriculture and Farming, Biotechnology, Manufacturing, Science and Engineering",Private
Vitaldent,https://www.crunchbase.com/organization/vitaldent,"Biotechnology, Dental, Wellness","Spain, Europe","Vitaldent is specializing in comprehensive dental services for teeth cleaning, decay, dentistry and more.",,+63 917994549,http://vitaldent.com,,1,Private Equity,"€100,000,000",2013-12-02,Private Equity,"€100,000,000","Biotechnology, Health Care, Science and Engineering",Private
HealthSmart Holdings,https://www.crunchbase.com/organization/healthsmart-holdings,"Biotechnology, Health Care, Medical","Boulevard, California, United States",HealthSmart Holdings is a health solution provider helping companies provide medical services to their employees.,sales@healthsmart.com,214-574-2375,http://healthsmart.com,,1,Private Equity,"$15,999,996",2012-01-13,Private Equity,"$15,999,996","Biotechnology, Health Care, Science and Engineering",Private
IDEA SPHERE,https://www.crunchbase.com/organization/idea-sphere,"Biotechnology, Manufacturing, Natural Resources","New York, New York, United States",IDEA SPHERE is a biotechnology company manufacturing natural and organic vitamins and nutrients.,,18139209336,http://www.ideasphere.com,For Profit,1,Private Equity,"$25,000,000",2011-11-30,Private Equity,"$25,000,000","Biotechnology, Manufacturing, Natural Resources, Science and Engineering, Sustainability",Private
Theracos,https://www.crunchbase.com/organization/theracos,"Biotechnology, Health Care, Pharmaceutical","Marlborough, Massachusetts, United States","Theracos Inc., a pharmaceutical research and development company, supports research programs in inflammation, metabolism and depression.",info@theracos.com,4082477100,http://theracos.com,,2,Private Equity,"$25,000,000",2016-01-15,Private Equity,"$118,092,700","Biotechnology, Health Care, Science and Engineering",Private
Ironshore Pharmaceuticals,https://www.crunchbase.com/organization/ironshore-pharmaceuticals,"Biotechnology, Pharmaceutical","Toronto, Ontario, Canada","Ironshore Pharmaceuticals & Development, Inc., is a pharmaceutical company that is leveraging its proprietary technology.",,647.260.7875,http://www.highlandtherapeutics.com,For Profit,1,Private Equity,"$200,000,000",2017-01-24,Private Equity,"$200,000,000","Biotechnology, Health Care, Science and Engineering",Private
Saladax Biomedical,https://www.crunchbase.com/organization/saladax-biomedical,"Biotechnology, Health Care, Medical","Bethlehem, Pennsylvania, United States",Saladax Biomedical is a commercial-stage therapeutics developer with an initial focus on oncology.,orders@saladax.com,6108618247,http://www.saladax.com,,8,Private Equity,"$22,400,000",2013-03-05,Private Equity,"$54,783,399","Biotechnology, Health Care, Science and Engineering",Private
Metamark Genetics,https://www.crunchbase.com/organization/metamark-genetics,"Biotechnology, Genetics, Health Diagnostics, Personal Health","Cambridge, Massachusetts, United States",Metamark Genetics develops prognostic and predictive diagnostic tests that enable personalized treatment planning for cancer patients.,info@metamarkgenetics.com,617-583-1400,http://www.metamarkgenetics.com,,4,Private Equity,"$9,109,287",2012-11-15,Private Equity,"$46,759,287","Biotechnology, Health Care, Science and Engineering",Private
AlixaRx,https://www.crunchbase.com/organization/alixarx,"Biotechnology, Health Care, Pharmaceutical","Plano, Texas, United States",AlixaRx is a pharmacy and clinical pharmacist services company focused on improving healthcare delivery.,ask@alixarx.com,855-254-9279,http://www.alixarx.com,,1,Private Equity,"$100,000,000",2013-07-02,Private Equity,"$100,000,000","Biotechnology, Health Care, Science and Engineering",Private
Pepex Biomedical,https://www.crunchbase.com/organization/pepex-biomedical,"Big Data, Biotechnology, Sensor","Saint Louis, Missouri, United States",Pepex is a Biotechnology & Big Data Company,bo.kim@pepex.com,(240)506-3170,http://www.pepex.com,For Profit,5,Private Equity,"$15,000,000",2015-07-02,Private Equity,"$22,250,000","Biotechnology, Data and Analytics, Hardware, Science and Engineering",Private
Emerus Hospital Partners,https://www.crunchbase.com/organization/emerus-hospital-partners,"Biotechnology, Health Care, Health Diagnostics","Houston, Texas, United States","Emerus Hospital is an emergency care facility providing prompt diagnosis, treatments and advanced emergency care services for patients.",marketing@emerus.com,281-292-2450,http://www.emerus.com,,2,Private Equity,,2015-09-01,Private Equity,"$30,000,000","Biotechnology, Health Care, Science and Engineering",Private
Healthcare Corporation of America,https://www.crunchbase.com/organization/healthcare-corporation-of-america,"Biotechnology, Health Care, Hospital","Nashville, Tennessee, United States",Healthcare Corporation of America provides healthcare services through their locally-managed hospitals and surgery centers.,,(615) 344-9551,http://hcahealthcare.com,For Profit,2,Private Equity,"$3,200,000",2014-06-25,Debt Financing,"$9,125,000","Biotechnology, Health Care, Science and Engineering",Private
Tenex Health,https://www.crunchbase.com/organization/tenex-health,"Biotechnology, Health Care, Therapeutics","Lake Forest, California, United States",Tenex Health develops minimally invasive therapies for the removal of diseased soft tissue and the restoration of musculoskeletal function.,info@tenexhealth.com,9495801270,http://www.tenexhealth.com,,3,Private Equity,"$11,843,224",2012-01-25,Private Equity,"$18,518,224","Biotechnology, Health Care, Science and Engineering",Private
Verus Healthcare,https://www.crunchbase.com/organization/sleep-nation,"Biotechnology, Medical, Therapeutics","Franklin, Tennessee, United States","Verus Healthcare, Inc. is a health care supply company located in Franklin,",acquisitions@sleep-nation.com,+1 (800) 487-5566,http://verushealthcare.com/,,1,Private Equity,"$7,150,000",2012-06-21,Private Equity,"$7,150,000","Biotechnology, Health Care, Science and Engineering",Private
Vascular Therapies,https://www.crunchbase.com/organization/vascular-therapies,"Biotechnology, Pharmaceutical","Cresskill, New Jersey, United States",Vascular Therapies develops a drug-device combination product for perivascular implantation during arteriovenous fistula surgeries.,info@vasculartx.com,(201) 266-8310,http://www.vasculartx.com,For Profit,6,Private Equity,"$16,200,000",2015-02-19,Private Equity,"$26,923,891","Biotechnology, Health Care, Science and Engineering",Private
AMO Pharma,https://www.crunchbase.com/organization/amo-pharma,"Biotechnology, Health Care, Pharmaceutical","Wonersh, Surrey, United Kingdom",AMO Pharma is a privately held emerging biopharmaceutical company,info@amo-pharma.com,+4401483319070,http://www.amo-pharma.com/,For Profit,1,Private Equity,"$25,000,000",2015-09-30,Private Equity,"$25,000,000","Biotechnology, Health Care, Science and Engineering",Private
Pierian Biosciences,https://www.crunchbase.com/organization/diatech-oncology,"Biotechnology, Health Diagnostics, Information Services","Brentwood, Tennessee, United States",Pierian Biosciences is a life sciences company.,info@pierianbio.com,(877) 434-2832,http://pierianbio.com/,For Profit,1,Private Equity,"$18,000,000",2013-06-04,Private Equity,"$18,000,000","Biotechnology, Health Care, Information Technology, Science and Engineering",Private
Allocade,https://www.crunchbase.com/organization/allocade,"Biotechnology, Health Care, Hospital","Menlo Park, California, United States",Allocade develops operational technology that creates a dynamic patient itinerary for every patient throughout the hospital enterprise.,info@allocade.com,650-365-6161,http://www.allocade.com,,5,Private Equity,"$3,159,045",2011-08-15,Private Equity,"$18,052,263","Biotechnology, Health Care, Science and Engineering",Private
Hana Biosciences,https://www.crunchbase.com/organization/hana-biosciences,"Biotechnology, Health Care, Medical","San Francisco, California, United States",Hana Biosciences is a biopharmaceutical company developing and commercializing differentiated cancer therapies.,,,http://www.hanabiosciences.com,,2,Private Equity,"$100,000,000",2010-06-07,Private Equity,"$116,267,844","Biotechnology, Health Care, Science and Engineering",Private
Magnus Life Science,https://www.crunchbase.com/organization/magnus-life-science,"Biopharma, Biotechnology, Life Science","London, England, United Kingdom",Magnus has those ideas and employs a novel approach to the advancement and rapid development of valuable new discoveries in biomedicine,enquiries@magnuslifescience.co.uk,(440) 203-2827,http://www.magnuslifescience.co.uk,For Profit,1,Private Equity,"£15,500,000",2014-10-07,Private Equity,"£15,500,000","Biotechnology, Health Care, Science and Engineering",Private
NONO,https://www.crunchbase.com/organization/nono,"Biotechnology, Health Diagnostics, Medical","Toronto, Ontario, Canada",NoNO is engaged in the development of pharmaceuticals for the treatment of common health disorders.,info@nonoinc.ca,4166035505,http://www.nonoinc.ca,,1,Private Equity,"$9,776,044",2013-05-24,Private Equity,"$9,776,044","Biotechnology, Health Care, Science and Engineering",Private
Annai Systems,https://www.crunchbase.com/organization/annai-systems,"Biotechnology, Genetics, Health Care, Information Technology","Carlsbad, California, United States",Annai Systems is a leading genomic data analysis company committed to developing cost-reducing innovations that accelerate discovery.,info@annaisystems.com,(760)607-3300,http://www.annaisystems.com,For Profit,6,Private Equity,"$3,920,000",2012-08-23,Convertible Note,"$13,593,104","Biotechnology, Health Care, Information Technology, Science and Engineering",Private
PathGroup,https://www.crunchbase.com/organization/pathgroup,"Biotechnology, Health Care, Health Diagnostics","Brentwood, Tennessee, United States","PathGroup provides anatomic and clinical pathology services in Tennessee, Kentucky, Georgia, Illinois, Indiana, and North Carolina.",contact@pathgroup.com,615-221-4500,http://www.pathgroup.com,,2,Private Equity,,2016-08-01,Private Equity,"$19,500,000","Biotechnology, Health Care, Science and Engineering",Private
S*Bio,https://www.crunchbase.com/organization/s-bio,"Biotechnology, Medical, Pharmaceutical","Singapore, Central Region, Singapore",S*BIO focused on the discovery and clinical development of targeted drugs for the treatment of cancer.,talk2us@sbio.com,65 6827 5000,http://www.sbio.com,,3,Private Equity,"$5,000,000",2010-09-23,Private Equity,"$143,500,000","Biotechnology, Health Care, Science and Engineering",Private
RadioRx,https://www.crunchbase.com/organization/radiorx,"Biotechnology, Health Care, Medical","Mountain View, California, United States","RadioRx is a biotechnology company that discovers and develops compounds, sourced and adapted from the aerospace industry.",info@radiorx.com,6504178556,http://www.radiorx.com,,1,Private Equity,"$20,450,011",2013-04-17,Private Equity,"$20,450,011","Biotechnology, Health Care, Science and Engineering",Private
Altheus Therapeutics,https://www.crunchbase.com/organization/altheus-therapeutics,"Biotechnology, Health Care, Health Diagnostics","Oklahoma City, Oklahoma, United States",Altheus Therapeutics develops Zoenasa oral tablets and Rectal gel formulations in treating bowel diseases.,info@altheustherapeutics.com,(405) 319-8177,http://www.altheustherapeutics.com,,2,Private Equity,"$8,085,705",2013-01-04,Private Equity,"$10,055,948","Biotechnology, Health Care, Science and Engineering",Private
IV Diagnostics,https://www.crunchbase.com/organization/iv-diagnostics,"Biotechnology, Developer Platform, Health Diagnostics","Crown Point, Indiana, United States","IV Diagnostics develops diagnostic tools for detecting, measuring and monitoring rare circulating tumor cells.",info@ivdiagnostics.com,219-840-0007,http://ivdiagnostics.com,,2,Private Equity,,2014-06-05,Private Equity,"$1,187,674","Biotechnology, Health Care, Science and Engineering, Software",Private
Torch Group,https://www.crunchbase.com/organization/torch-group,"Biotechnology, Medical, Pharmaceutical","Oak Park, Illinois, United States","Torch Group, LLC operates in the healthcare sector.",info@torchgroup.com,440 5191823,http://www.torchgroup.com,,1,Private Equity,"$5,400,000",2011-09-16,Private Equity,"$5,400,000","Biotechnology, Health Care, Science and Engineering",Private
BioCritica,https://www.crunchbase.com/organization/biocritica,"Biotechnology, Life Science, Therapeutics","Indianapolis, Indiana, United States",BioCritica develops and commercializes critical care products for the healthcare industry.,bdev@biocritica.com,317-575-4035,http://www.biocritica.com,For Profit,1,Private Equity,"$25,000,000",2011-05-25,Private Equity,"$25,000,000","Biotechnology, Health Care, Science and Engineering",Private
"AbboMax, Inc",https://www.crunchbase.com/organization/abbomax-inc-2,"Biotechnology, Customer Service","San Jose, California, United States","AbboMax, a biotechnology platform, is an antibody product and service provider.",info@abbomax.com,(408)573-1898,http://www.abbomax.com,For Profit,2,Private Equity,"$1,500,000",2015-10-15,Private Equity,"$2,500,000","Biotechnology, Science and Engineering",Private
Saguaro Group,https://www.crunchbase.com/organization/saguaro-group,"Accounting, Biotechnology, Health Care","Raleigh, North Carolina, United States",Saguaro Group is a biotech company providing management and accounting services to healthcare delivery firms.,,+1 919-256-0824,http://forms.saguaromanagement.com,For Profit,1,Private Equity,"$27,396,000",2011-07-14,Private Equity,"$27,396,000","Biotechnology, Financial Services, Health Care, Professional Services, Science and Engineering",Private
AURSOS,https://www.crunchbase.com/organization/aursos,"Biotechnology, Developer Platform, Health Care","Kalamazoo, Michigan, United States",Aursos is a biotechnology company.,, 	269-349-8999,http://www.aursos.com,For Profit,5,Private Equity,"$5,000",2013-10-11,Debt Financing,"$2,835,000","Biotechnology, Health Care, Science and Engineering, Software",Private
Microphyt,https://www.crunchbase.com/organization/microphyt,Biotechnology,"Baillargues, Languedoc-Roussillon, France","Microphyt researches, develops, produces, and markets natural algae-based products that contribute to weight loss and to brain health.",,,http://www.microphyt.eu/,For Profit,3,Private Equity,"€1,780,029",2016-08-01,Grant,"€1,830,029","Biotechnology, Science and Engineering",Private
Pharmaceutical Product Development,https://www.crunchbase.com/organization/ppd,Biotechnology,"Wilmington, North Carolina, United States","PPD is a global contract research organization that provides discovery, development, and post-approval services and partnering programs.",,910-251-0081,http://www.ppdi.com,For Profit,1,Private Equity,,2017-04-27,Private Equity,,"Biotechnology, Science and Engineering",Private
Biothera,https://www.crunchbase.com/organization/biothera,"Biotechnology, Medical, Medical Device","Eagan, Minnesota, United States",Biothera is a biotechnology company developing natural gluco polysaccharides that engage and direct natural innate immune systems.,bgacki@biothera.com,6516750400,http://biothera.com,,3,Private Equity,"$1,075,000",2017-05-11,Private Equity,"$6,163,130","Biotechnology, Health Care, Science and Engineering",Private
Innovative Acquisitions,https://www.crunchbase.com/organization/innovative-acquisitions,"Biotechnology, Health Care, Health Diagnostics","Cumberland, Rhode Island, United States","Innovative Acquisitions is a real estate company, which is based in Cumberland, Rhode Island.",,,,For Profit,1,Private Equity,"$70,000,249",2011-10-04,Private Equity,"$70,000,249","Biotechnology, Health Care, Science and Engineering",Private
Quantros,https://www.crunchbase.com/organization/quantros,Biotechnology,"Milpitas, California, United States",Quantros is a leading provider of cloud-based solutions and information services that advance healthcare quality and safety performance.,info@quantros.com,408-957-3300,http://quantros.com,,1,Private Equity,,2013-07-31,Private Equity,,"Biotechnology, Science and Engineering",Private
ReCept Holdings,https://www.crunchbase.com/organization/recept-holdings,"Biotechnology, Health Care, Pharmaceutical","Fort Worth, Texas, United States","ReCept Holdings, based in Forth Worth, Texas, owns and operates a chain of pharmacies.",,(817)572-0009,,For Profit,1,Private Equity,"$10,154,182",2011-12-27,Private Equity,"$10,154,182","Biotechnology, Health Care, Science and Engineering",Private
