Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
Valeant Pharmaceuticals International,https://www.crunchbase.com/organization/valeant-pharmaceuticals-international,"Biotechnology, Health Care, Medical, Pharmaceutical","Aliso Viejo, California, United States","Valeant Pharmaceuticals International develops and markets medications used in the fields of neurology, dermatology and infectious diseases.",valeantjobs@valeant.com,(800) 361-1448,http://www.valeant.com,For Profit,1,IPO,"$200,000,000",2018-01-25,Post-IPO Debt,"$200,000,000","Biotechnology, Health Care, Science and Engineering",Public
Teva Pharmaceutical Industries,https://www.crunchbase.com/organization/teva-pharmaceutical-industries,"Biotechnology, Health Care, Medical, Pharmaceutical","Petah Tiqva, HaMerkaz, Israel",Teva Pharmaceutical Industries Ltd. (NYSE: TEVA) is a leading global pharmaceutical company.,jobs.europe@tevaeu.com,+972 3-914-8171,http://www.tevapharm.com,For Profit,1,IPO,"$358,000,000",2018-02-14,Post-IPO Equity,"$358,000,000","Biotechnology, Health Care, Science and Engineering",Public
Fresenius Medical Care,https://www.crunchbase.com/organization/fresenius-medical-care,"Biotechnology, Health Care, Medical Device","Homburg, Saarland, Germany",Fresenius Medical Care provides dialysis treatment for those with chronic kidney diseases.,webmaster@fmc-na.com,+49 6172 6090,http://www.fmc-ag.com/,,19,IPO,"$38,996,000",2016-04-08,Post-IPO Equity,"$168,846,552","Biotechnology, Health Care, Science and Engineering",Public
GW Pharmaceuticals,https://www.crunchbase.com/organization/gw-pharmaceuticals,"Biotechnology, Pharmaceutical, Therapeutics","Wiltshire, United Kingdom, Europe","GW Pharmaceuticals was founded in 1998 and is listed on both the NASDAQ Global Market (GWPH) and AIM, a market of the London Stock",info@gwpharm.com,+44 1980 557000,http://gwpharm.com,For Profit,3,IPO,"$1,000,000",2017-03-03,Post-IPO Equity,"$268,100,000","Biotechnology, Health Care, Science and Engineering",Public
Tricida,https://www.crunchbase.com/organization/tricida,"Biotechnology, Health Care, Pharmaceutical","Menlo Park, California, United States","Tricida, Inc. operates in the healthcare industry focusing on pharmaceutical business. ",info@tricida.com,415-429-7800,http://tricida.com,,6,IPO,"$100,000,000",2018-03-02,Debt Financing,"$257,014,244","Biotechnology, Health Care, Science and Engineering",Public
Sarepta Therapeutics,https://www.crunchbase.com/organization/sarepta-therapeutics,"Biotechnology, Genetics, Health Care, Therapeutics","Cambridge, Massachusetts, United States","Sarepta Therapeutics – formerly AVI BioPharma – remains focused on developing first-in-class, RNA-based therapeutics to improve and save",sarepta@sareptatherapeutics.com,5417543545,http://www.sareptatherapeutics.com,For Profit,2,IPO,"$100,000,000",2017-07-19,Post-IPO Debt,"$140,000,000","Biotechnology, Health Care, Science and Engineering",Public
Becton Dickinson,https://www.crunchbase.com/organization/becton-dickinson,"Biotechnology, Health Care, Medical, Medical Device","Franklin Lakes, New Jersey, United States","BD is a medical technology company that serves healthcare institutions, life science researchers, clinical laboratories and the industry.",,(201)847-6800,http://www.bd.com,For Profit,2,IPO,,2016-03-08,Private Equity,"$15,000,000","Biotechnology, Health Care, Science and Engineering",Delisted
Vertex Pharmaceuticals,https://www.crunchbase.com/organization/vertex-pharmaceuticals,"Biotechnology, Medical, Pharmaceutical","Abingdon, Oxfordshire, United Kingdom",Vertex Pharmaceuticals is focused on the discovery and development of small molecule drugs for the treatment of serious diseases.,mediainfo@vrtx.com,(617) 577-6689,http://www.vrtx.com,,4,IPO,"$443,000,000",2009-12-03,Post-IPO Equity,"$600,397,225","Biotechnology, Health Care, Science and Engineering",Public
Invitae,https://www.crunchbase.com/organization/invitae-corporation,"Biotechnology, Genetics, Health Care","San Francisco, California, United States",Reinventing genetic testing by lowering the barriers for clinicians and patients to obtain diagnostic genetic information,clinical@invitae.com,415-930-4018,http://invitae.com,For Profit,5,IPO,"$120,000,000",2014-10-13,Series F,"$195,502,111","Biotechnology, Health Care, Science and Engineering",Public
Nektar Therapeutics,https://www.crunchbase.com/organization/nektar-therapeutics,"Biotechnology, Health Care, Therapeutics","San Carlos, California, United States",Nektar Therapeutics develops therapeutics based on its advanced polymer conjugate chemistry technology platform.,NektarSC@nektar.com,(650)631-3100,http://www.nektar.com,For Profit,2,IPO,"$20,000,000",2016-06-02,Post-IPO Equity,"$45,000,000","Biotechnology, Health Care, Science and Engineering",Public
Natera,https://www.crunchbase.com/organization/natera,"Biotechnology, Genetics, Health Diagnostics, Medical","San Carlos, California, United States",Natera develops tests ranging from pre-implantation genetic diagnosis for IVF to advances in the field of non-invasive prenatal testing.,info@natera.com,650-249-9090,http://www.natera.com,For Profit,7,IPO,"$55,500,000",2015-04-06,Series F,"$154,100,000","Biotechnology, Health Care, Science and Engineering",Public
PTC Therapeutics,https://www.crunchbase.com/organization/ptc-therapeutics,"Biotechnology, Health Care, Therapeutics","South Plainfield, New Jersey, United States","PTC Therapeutics is a biopharmaceutical company that engages in the discovery, development and commercialization of small-molecule drugs.",info@ptcbio.com,9082227231,http://www.ptcbio.com,For Profit,13,IPO,"$150,000,000",2015-08-14,Post-IPO Debt,"$427,100,000","Biotechnology, Health Care, Science and Engineering",Public
Editas Medicine,https://www.crunchbase.com/organization/editas-medicine,"Biotechnology, Genetics, Health Care, Medical","Cambridge, Massachusetts, United States",Editas Medicine is engaged in discovering and developing a novel class of genome editing therapeutics.,info@editasmed.com,(617) 401-9000,http://www.editasmedicine.com,For Profit,3,IPO,"$120,000,000",2015-08-10,Series B,"$210,000,000","Biotechnology, Health Care, Science and Engineering",Public
Loxo Oncology,https://www.crunchbase.com/organization/loxo-oncology,"Biopharma, Biotechnology, Genetics, Therapeutics","New York, New York, United States",Loxo Oncology is a biopharmaceutical company focused on targeted cancer therapies for genetically-defined patient populations.,,+1 203-653-3880,http://www.loxooncology.com/,,2,IPO,"$24,000,000",2014-05-06,Series B,"$57,000,000","Biotechnology, Health Care, Science and Engineering",Public
Arcus Biosciences,https://www.crunchbase.com/organization/arcus-biosciences,"Biotechnology, Health Care, Medical","Hayward, California, United States",Arcus Biosciences is a biotech company that visions to create new cancer therapeutics through the use of emerging insights in immunology.,webmaster@arcusbio.com,,http://www.arcusbio.com/,For Profit,3,IPO,"$107,000,000",2017-11-13,Series C,"$226,700,000","Biotechnology, Health Care, Science and Engineering",Public
Alnylam Pharmaceuticals,https://www.crunchbase.com/organization/alnylam-pharmaceuticals,"Biotechnology, Health Care, Medical","Cambridge, Massachusetts, United States",Alnylam Pharmaceuticals develops novel therapeutics-based RNAi and provides overviews of recent drug development programs.,info@alnylam.com,6175518101,http://www.alnylam.com,,3,IPO,"$700,000,000",2014-01-13,Post-IPO Equity,"$734,600,000","Biotechnology, Health Care, Science and Engineering",Public
Evelo Biosciences,https://www.crunchbase.com/organization/evelo-therapeutics,"Biotechnology, Medical, Therapeutics","Cambridge, Massachusetts, United States",Evelo Biosciences is dedicated to improving the lives of patients globally through the development of monoclonal microbials.,info@evelobio.com,(617)577-0300,http://evelobio.com,For Profit,4,IPO,,2018-04-30,Venture - Series Unknown,"$132,500,005","Biotechnology, Health Care, Science and Engineering",Public
Denali Therapeutics,https://www.crunchbase.com/organization/denali-therapeutics,"Biotechnology, Genetics, Health Diagnostics, Therapeutics","San Francisco, California, United States",Denali Therapeutics is a biotechnology company.,careers@dnli.com,,http://www.denalitherapeutics.com/#home,For Profit,3,IPO,"$130,000,000",2016-08-25,Series B,"$347,000,000","Biotechnology, Health Care, Science and Engineering",Public
CRISPR Therapeutics,https://www.crunchbase.com/organization/crispr-therapeutics,"Biopharma, Biotechnology, Genetics, Medical","Cambridge, Massachusetts, United States",CRISPR Therapeutics is focused on the development of transformative medicines using its proprietary CRISPR/Cas9 gene-editing platform. ,info@crisprtx.com,141794589327,http://crisprtx.com/,For Profit,3,IPO,"$38,000,000",2016-06-24,Series B,"$127,000,000","Biotechnology, Health Care, Science and Engineering",Public
Solid Biosciences,https://www.crunchbase.com/organization/solid-biosciences,"Biotechnology, Genetics, Manufacturing, Medical","Marlborough, Massachusetts, United States",Solid Biosciences is a advance the development of its novel gene therapy platform.,info@solidbio.com,+16173374682,http://solidbio.com/,For Profit,3,IPO,"$50,000,000",2017-03-30,Series C,"$92,500,000","Biotechnology, Health Care, Manufacturing, Science and Engineering",Public
Blueprint Medicines,https://www.crunchbase.com/organization/blueprint-medicines,"Biotechnology, Health Care, Medical","Cambridge, Massachusetts, United States",Blueprint Medicines engages in the discovery and development of highly selective kinase inhibitors for genomically defined cancer subsets.,media@blueprintmedicines.com,617-374-7580,http://www.blueprintmedicines.com,,4,IPO,"$125,000,000",2016-12-08,Post-IPO Equity,"$240,000,000","Biotechnology, Health Care, Science and Engineering",Public
Intellia Therapeutics,https://www.crunchbase.com/organization/intellia-therapeutics,"Biotechnology, Genetics, Health Care, Medical","Cambridge, Massachusetts, United States",Intellia Therapeutics was formed in 2014 to lead the industry in one of the most promising new areas of therapeutic development,info@intelliatx.com,(857) 285-6200,http://intelliatx.com,For Profit,2,IPO,"$70,000,000",2015-09-01,Series B,"$85,000,000","Biotechnology, Health Care, Science and Engineering",Public
UNITY Biotechnology,https://www.crunchbase.com/organization/unity-biotechnology,"Biotechnology, Health Care, Medical","Brisbane, California, United States","Unity Biotechnology, Inc. designs therapeutics that prevent, halt, and reverse various diseases of aging.",info@unitybiotechnology.com,617-563-5800,http://unitybiotechnology.com/,For Profit,6,IPO,"$55,000,000",2018-03-19,Series C,"$208,791,000","Biotechnology, Health Care, Science and Engineering",Public
Abeona Therapeutics,https://www.crunchbase.com/organization/abeona-therapeutics,"Biotechnology, Genetics, Health Care, Medical Device, Wireless","Cleveland, Ohio, United States",Abeona Therapeutics develops gene therapy-based potential cures for Sanfilippo syndrome types A and B.,tmiller@abeonatherapeutics.com,(216)287-5408,http://abeonatherapeutics.com,For Profit,6,IPO,"$92,000,000",2017-10-19,Post-IPO Equity,"$128,700,000","Biotechnology, Hardware, Health Care, Mobile, Science and Engineering",Public
Catabasis Pharmaceuticals,https://www.crunchbase.com/organization/catabasis-pharmaceuticals,"Biotechnology, Health Care, Medical","Cambridge, Massachusetts, United States",Catabasis Pharmaceuticals discovers and develops innovative drugs for treating inflammatory conditions.,info@catabasispharma.com,(617) 349-1971,http://catabasis.com/,For Profit,11,IPO,"$42,000,000",2018-06-22,Post-IPO Equity,"$173,023,736","Biotechnology, Health Care, Science and Engineering",Public
Haemonetics,https://www.crunchbase.com/organization/haemonetics,"Biotechnology, Health Care, Medical","Braintree, Massachusetts, United States",Haemonetics Corporation is a provider of blood and plasma supplies and services.,,7813487738,http://www.haemonetics.com,For Profit,1,IPO,"$700,000,000",2018-06-18,Post-IPO Debt,"$700,000,000","Biotechnology, Health Care, Science and Engineering",Public
Audentes Therapeutics,https://www.crunchbase.com/organization/audentes-therapeutics,"Biotechnology, Genetics, Health Care, Health Diagnostics","San Francisco, California, United States",Audentes is a biotechnology company that employs gene therapy technology to develop treatments for people with rare muscle diseases.,info@audentestx.com,+1 (415) 638-6556,http://audentestx.com,For Profit,3,IPO,"$65,000,000",2015-10-13,Series C,"$137,500,000","Biotechnology, Health Care, Science and Engineering",Public
TrovaGene,https://www.crunchbase.com/organization/trovagene,"Biotechnology, Health Diagnostics, Medical","San Diego, California, United States",Trovagene developed molecular diagnostics by isolating and detecting transrenal nucleic acids DNA in urine.,service@trovagene.com,+1 858-217-4838,http://trovagene.com,For Profit,5,IPO,"$18,000,000",2018-06-12,Post-IPO Equity,"$50,458,200","Biotechnology, Health Care, Science and Engineering",Public
Jazz Pharmaceuticals,https://www.crunchbase.com/organization/jazz-pharmaceuticals,"Biotechnology, Health Care, Pharmaceutical","Palo Alto, California, United States",Jazz Pharmaceuticals plc is an international biopharmaceutical company.,contact@jazzpharma.com,6504962651,http://www.jazzpharmaceuticals.com,,4,IPO,"$120,000,000",2009-12-07,Post-IPO Debt,"$384,099,998","Biotechnology, Health Care, Science and Engineering",Public
Scholar Rock,https://www.crunchbase.com/organization/scholar-rock,"Biotechnology, Medical, Therapeutics","Cambridge, Massachusetts, United States",Scholar Rock is discovering and developing a new class of biologic therapies.,info@scholarrock.com,(857) 259-3861,http://scholarrock.com,For Profit,3,IPO,"$47,000,000",2018-01-03,Series C,"$103,000,000","Biotechnology, Health Care, Science and Engineering",Public
Achaogen,https://www.crunchbase.com/organization/achaogen,"Biotechnology, Health Care, Medical","South San Francisco, California, United States","Achaogen, a biopharmaceutical company, discovers and develops broad-spectrum antibiotics to treat multi-drug resistant bacterial infections.",info@achaogen.com,(650) 800-3636,http://www.achaogen.com,For Profit,6,IPO,"$9,999,976",2017-05-11,Post-IPO Equity,"$152,055,670","Biotechnology, Health Care, Science and Engineering",Public
ViewRay,https://www.crunchbase.com/organization/viewray,"Biotechnology, Health Care, Pharmaceutical","Cleveland, Ohio, United States",ViewRay develops advanced radiation therapy technology for the treatment of cancer.,hr@viewray.com,(440) 703-3210,http://www.viewray.com,For Profit,17,IPO,"$59,000,000",2018-02-26,Post-IPO Equity,"$417,792,385","Biotechnology, Health Care, Science and Engineering",Public
Hologic,https://www.crunchbase.com/organization/hologic,"Biotechnology, Health Care, Health Diagnostics, Women's","Bedford, Massachusetts, United States",Hologic engages in the development and supply of medical imaging systems and diagnostic products focused on the healthcare needs of women.,info@hologic.com,781-999-7300,http://www.hologic.com,,1,IPO,"$450,000,000",2010-11-30,Post-IPO Equity,"$450,000,000","Biotechnology, Health Care, Science and Engineering",Public
Amicus Therapeutics,https://www.crunchbase.com/organization/amicus-therapeutics,"Biotechnology, Health Care, Pharmaceutical","Cranbury, New Jersey, United States",Amicus Therapeutics is a biopharmaceutical company developing therapies for the treatment of rare and orphan diseases.,info@amicusrx.com,(609)662-200,http://www.amicusrx.com,For Profit,7,IPO,"$10,000,000",2013-12-31,Post-IPO Debt,"$162,866,943","Biotechnology, Health Care, Science and Engineering",Public
T2 Biosystems,https://www.crunchbase.com/organization/t2-biosystems,"Biotechnology, Health Care, Health Diagnostics","Lexington, Massachusetts, United States",T2 Biosystems develops a medical diagnostic platform that enables rapid and accurate diagnostic tests of all types on a single instrument.,info@t2biosystems.com,7814571216,http://www.t2biosystems.com,,9,IPO,"$2,000,000",2018-03-08,Grant,"$186,800,000","Biotechnology, Health Care, Science and Engineering",Public
TESARO,https://www.crunchbase.com/organization/tesaro,"Biopharma, Biotechnology, Health Care","Waltham, Massachusetts, United States",TESARO is an oncology-focused biopharmaceutical company identifying better cancer therapies to improve the lives of patients with cancer.,contact@tesarobio.com,339.970.0900,http://tesarobio.com,For Profit,5,IPO,"$49,999,960",2016-04-18,Post-IPO Equity,"$456,999,875","Biotechnology, Health Care, Science and Engineering",Public
Medtronic,https://www.crunchbase.com/organization/medtronic,"Biotechnology, Health Care, Health Diagnostics, Manufacturing, Medical, Medical Device","Minneapolis, Minnesota, United States",Medtronic develops and manufactures innovative medical device technologies and therapies to treat chronic diseases worldwide.,,(180) 063-3876,http://www.medtronic.com,For Profit,1,IPO,"$20,000,000",2016-08-15,Post-IPO Equity,"$20,000,000","Biotechnology, Health Care, Manufacturing, Science and Engineering",Public
Pfizer,https://www.crunchbase.com/organization/pfizer,"Biotechnology, Health Care, Medical, Pharmaceutical","New York, New York, United States",Pfizer is a pharmaceuticals & biotechnology company.,,212 733-2323,http://www.pfizer.com,,0,IPO,,,,,"Biotechnology, Health Care, Science and Engineering",Public
Ipsen,https://www.crunchbase.com/organization/ipsen,"Biotechnology, Manufacturing, Pharmaceutical, Product Research","Boulogne-billancourt, Ile-de-France, France","Ipsen S.A. engages in the research, development, manufacture, and sale of pharmaceutical products worldwide.",contact.web@ipsen.com,(331) 583-3500,http://www.ipsen.com,For Profit,1,IPO,"£22,000,000",2017-11-20,Post-IPO Equity,"£22,000,000","Biotechnology, Data and Analytics, Design, Health Care, Manufacturing, Science and Engineering",Public
Intrexon Corporation,https://www.crunchbase.com/organization/intrexon-corporation,"Biotechnology, Life Science, Medical, Therapeutics","Blacksburg, Virginia, United States",Intrexon Corporation is a life sciences company researching and developing bio-therapeutic control systems to minimize toxicity.,swright@intrexon.com,15409610734,http://www.dna.com,,7,IPO,"$57,500,000",2015-01-28,Post-IPO Equity,"$344,000,000","Biotechnology, Health Care, Science and Engineering",Public
Bluebird Bio,https://www.crunchbase.com/organization/bluebird-bio,"Biotechnology, Genetics, Health Diagnostics, Pharmaceutical","Cambridge, Massachusetts, United States",Bluebird Bio offers products based on the transformative potential of gene therapy for patients with genetic and orphan diseases.,info@bluebirdbio.com,339-499-9300,http://www.bluebirdbio.com,,8,IPO,"$250,000,000",2016-12-07,Post-IPO Equity,"$409,000,000","Biotechnology, Health Care, Science and Engineering",Public
Ironwood Pharmaceuticals,https://www.crunchbase.com/organization/ironwood-pharmaceuticals,"Biotechnology, Health Care, Pharmaceutical","Cambridge, Massachusetts, United States","Ironwood Pharmaceuticals, an entrepreneurial pharmaceutical company, develops drugs for gastrointestinal and cardiovascular diseases.",info@ironwoodpharma.com,617-621-7722,http://www.ironwoodpharma.com,,9,IPO,"$150,000,000",2016-09-26,Post-IPO Debt,"$609,000,000","Biotechnology, Health Care, Science and Engineering",Public
MorphoSys,https://www.crunchbase.com/organization/morphosys,"Biotechnology, Health Diagnostics, Medical","Planegg, Bayern, Germany",MorphoSys is a biotechnology company focused on the research and development of fully human antibodies.,info@morphosys.com,+49 89 899270,http://www.morphosys.com,,2,IPO,"€115,000,000",2016-11-06,Post-IPO Equity,"$253,558,094","Biotechnology, Health Care, Science and Engineering",Public
Evotec,https://www.crunchbase.com/organization/evotec-inc,"Biopharma, Biotechnology, Neuroscience, Pharmaceutical, Therapeutics","Hamburg, Hamburg, Germany",Evotec is a drug discovery alliance progressing innovative product approaches with leading pharmaceutical and biotechnology companies.,info@evotec.com,+49040560810,http://evotec.com,For Profit,3,IPO,"€90,300,000",2017-02-10,Post-IPO Equity,"$136,070,166","Biotechnology, Health Care, Science and Engineering",Public
Apollo Endosurgery,https://www.crunchbase.com/organization/apollo-endosurgery,"Biotechnology, Health Care, Medical Device","Austin, Texas, United States",Apollo Endosurgery develops medical devices for the diagnosis and treatment of gastrointestinal diseases.,,5122795105,http://www.apolloendo.com,,10,IPO,"$23,700,000",2018-06-22,Post-IPO Equity,"$313,527,392","Biotechnology, Health Care, Science and Engineering",Public
Ionis Pharmaceuticals,https://www.crunchbase.com/organization/ionis-pharmaceuticals,"Biotechnology, Medical, Pharmaceutical","Carlsbad, California, United States",Ionis Pharmaceuticals is a drugmaker company.,,(760)931-9200,http://www.ionispharma.com/,For Profit,1,IPO,"$201,250,000",2012-08-27,Post-IPO Debt,"$201,250,000","Biotechnology, Health Care, Science and Engineering",Public
Abcam,https://www.crunchbase.com/organization/abcam,"Biotechnology, Events, Medical","Cambridge, Cambridgeshire, United Kingdom",Abcam is a producer and distributor of high quality research-grade antibodies and associated proteomics research products.,orders@abcam.com,(888) 772-2226,http://abcam.com,For Profit,2,IPO,"$76,999,653",2012-04-27,Post-IPO Equity,"$78,799,653","Biotechnology, Events, Health Care, Media and Entertainment, Science and Engineering",Public
Arcadia Biosciences,https://www.crunchbase.com/organization/arcadia-biosciences,"Agriculture, Biotechnology, Health Care","Davis, California, United States",Arcadia Biosciences is an agricultural technology company focused on developing products that benefit the environment and human health.,info@arcadiabio.com,(530) 756-7077,http://arcadiabio.com,,6,IPO,"$25,000,000",2015-12-31,Post-IPO Debt,"$131,000,000","Agriculture and Farming, Biotechnology, Health Care, Science and Engineering",Public
"Genprex, Inc.",https://www.crunchbase.com/organization/genprex,"Biopharma, Biotechnology, Pharmaceutical","Austin, Texas, United States",Genprex is a clinical-stage biopharmaceutical company developing revolutionary immunogene therapies for cancer.,info@genprex.com,(512)708-0155,http://www.genprex.com,For Profit,5,IPO,"$10,000,000",2018-05-08,Post-IPO Equity,"$12,160,000","Biotechnology, Health Care, Science and Engineering",Public
Calyxt,https://www.crunchbase.com/organization/calyxt,"Biotechnology, Developer Platform, GreenTech","Minnesota City, Minnesota, United States",Calyxt is an Agbiotech company focused on developing crops with healthier characteristics,contact@calyxt.com,+116516832807,http://www.calyxt.com/,For Profit,2,IPO,"$60,900,000",2018-05-22,Post-IPO Equity,"$61,377,000","Biotechnology, Science and Engineering, Software, Sustainability",Public
Axovant Sciences,https://www.crunchbase.com/organization/axovant-sciences,"Biopharma, Biotechnology, Neuroscience","Basel, Basel-Stadt, Switzerland",Axovant Sciences is a clinical-stage biopharmaceutical company,info@axovant.com,,http://www.axovant.com/,For Profit,1,IPO,"$55,000,000",2017-02-03,Post-IPO Debt,"$55,000,000","Biotechnology, Health Care, Science and Engineering",Public
UCB Pharma,https://www.crunchbase.com/organization/ucb-pharma,"Biotechnology, Health Care, Pharmaceutical","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",UCB Pharma is a biopharmaceutical and specialty chemical company.,contactucb@ucb.com,(322) 559-9999,http://www.ucb.com,For Profit,2,IPO,"$787,628",2015-05-13,Venture - Series Unknown,"$100,787,628","Biotechnology, Health Care, Science and Engineering",Public
Pfenex,https://www.crunchbase.com/organization/pfenex,"Biotechnology, Health Care, Therapeutics","San Diego, California, United States",Pfenex develops biosimilar therapeutics and novel vaccines for the treatment and prevention of critical human health issues.,proteins@pfenex.com,18583524339,http://www.pfenex.com,,2,IPO,"$39,400,000",2018-05-29,Post-IPO Equity,"$63,400,000","Biotechnology, Health Care, Science and Engineering",Public
Seattle Genetics,https://www.crunchbase.com/organization/seattle-genetics,"Biotechnology, Health Care, Therapeutics","Bothell, Washington, United States",Seattle Genetics develops monoclonal antibody-based therapies for the treatment of cancer and autoimmune diseases.,contact@seagen.com,6192707227,http://www.seattlegenetics.com/,,2,IPO,"$9,000,000",2014-01-17,Post-IPO Equity,"$164,000,000","Biotechnology, Health Care, Science and Engineering",Public
iRhythm Technologies,https://www.crunchbase.com/organization/irhythm,"Biotechnology, Health Care, Health Diagnostics","San Francisco, California, United States",iRhythm Technologies provides diagnostic monitoring solutions that facilitate the early diagnosis and treatment of cardiac arrhythmia.,rphillips@irhythmtech.com,(415) 632-5700,http://www.irhythmtech.com,For Profit,11,IPO,"$17,000,000",2014-05-22,Series E,"$122,828,512","Biotechnology, Health Care, Science and Engineering",Public
Integra LifeSciences Holdings,https://www.crunchbase.com/organization/integra-lifesciences-holdings,"Biotechnology, Life Science, Medical, Medical Device","Plainsboro, New Jersey, United States",Integra LifeSciences Holdings Corporation (Integra) is an integrated medical device company.,custsvcnj@integralife.com,16097993297,http://www.integralife.com,,1,IPO,"$350,000,000",2018-05-15,Post-IPO Equity,"$350,000,000","Biotechnology, Health Care, Science and Engineering",Public
Veracyte,https://www.crunchbase.com/organization/veracyte,"Biotechnology, Health Care, Health Diagnostics","South San Francisco, California, United States",Veracyte develops molecular diagnostic tests to improve patient outcomes and lower healthcare costs.,info@veracyte.com,6502436301,http://www.veracyte.com,,5,IPO,"$45,000,000",2016-03-29,Post-IPO Debt,"$116,250,000","Biotechnology, Health Care, Science and Engineering",Public
Zymeworks,https://www.crunchbase.com/organization/zymeworks,"Biotechnology, Medical, Therapeutics","Vancouver, British Columbia, Canada",Zymeworks is a computational biotechnology company focused on optimizing therapeutic antibodies and other protein-based therapeutics.,info@zymeworks.com,(604)678-1388,http://zymeworks.com,For Profit,8,IPO,"$61,500,000",2016-01-08,Series A,"$125,874,400","Biotechnology, Health Care, Science and Engineering",Public
