Organization Name,Organization Name URL,Categories,Category Groups,Description,Website,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,IPO Status
Contraline,https://www.crunchbase.com/organization/contraline,"Biotechnology, Medical, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","Contraline is developing the first long-lasting, reversible contraceptive for men ",http://www.contraline.com,2,Seed,"$2,250,000 ",3/31/17,Seed,"$2,930,000 ",Private
Genialis,https://www.crunchbase.com/organization/genialis,"Analytics, Bioinformatics, Biotechnology, Data Storage, Data Visualization, Genetics, Software","Biotechnology, Data and Analytics, Design, Hardware, Health Care, Information Technology, Science and Engineering, Software",Genialis develops a cloud-based visual analytics platform that enables scientists to develop the next generation of bioengineered therapies.,http://www.genialis.com,3,Seed,"$2,300,000 ",11/13/17,Seed,"$2,491,319 ",Private
Chai,https://www.crunchbase.com/organization/chai,"Biotechnology, Health Diagnostics, Life Science, Medical Device","Biotechnology, Health Care, Science and Engineering",Democratizing Biotechnology,https://www.chaibio.com,2,Seed,"$2,000,000 ",4/14/17,Seed,"$3,400,000 ",Private
Venture Catalysts,https://www.crunchbase.com/organization/venture-catalysts,"Advanced Materials, Biotechnology, Genetics, Hardware, Nanotechnology, Software","Biotechnology, Hardware, Health Care, Manufacturing, Science and Engineering, Software",Venture Catalysts is a company focused on the creation of start-ups based on technological and scientific projects.,http://www.venture-catalysts.com,1,Seed,"$40,000 ",6/13/11,Seed,"$40,000 ",Private
SeqOnce Biosciences Inc,https://www.crunchbase.com/organization/seqonce-biosciences-inc,"Biotechnology, Manufacturing, Nanotechnology","Biotechnology, Manufacturing, Science and Engineering","Next Generation Sequencing - sample preparation, Nanotechnology development",http://www.seqonce.com,4,Seed,"$1,000,000 ",5/8/18,Seed,"$1,455,000 ",Private
Gencove,https://www.crunchbase.com/organization/gencove-2,"Biotechnology, Genetics, Innovation Management","Biotechnology, Health Care, Science and Engineering",Gencove's low-pass sequencing platforms delivers whole genome discovery at the cost of genotyping. ,https://www.gencove.com/,1,Seed,"$1,000,000 ",7/11/17,Seed,"$1,000,000 ",Private
Biome Makers,https://www.crunchbase.com/organization/biome-makers,"Agriculture, Bioinformatics, Biotechnology, Genetics, Machine Learning, Wine And Spirits","Agriculture and Farming, Artificial Intelligence, Biotechnology, Data and Analytics, Food and Beverage, Health Care, Science and Engineering, Software",Biome Makers is specialized in microbiome understanding to provide comprehensive analysis for agricultural and industrial processes.,http://www.biomemakers.com,2,Seed,"$2,200,000 ",10/19/16,Seed,"$2,300,000 ",Private
Avro,https://www.crunchbase.com/organization/avro-life-science,"Biopharma, Biotechnology, Medical, Medical Device","Biotechnology, Health Care, Science and Engineering","Avro Life Science is developing skin patches for generic drug delivery, focusing on therapeutics for children and the elderly.",https://www.avrolifesci.com/,5,Seed,"$120,000 ",1/4/18,Seed,"$242,387 ",Private
Full Cycle Bioplastics,https://www.crunchbase.com/organization/full-cycle-bioplastics,"Advanced Materials, Biotechnology, CleanTech, Organic, Waste Management","Biotechnology, Manufacturing, Science and Engineering, Sustainability","We convert mixed organic wastes into polyhydroxyalkanoate (PHA), a cost competitive, compostable bioplastic.",http://fullcyclebioplastics.com/,2,Seed,,4/1/18,Seed,"$2,000,000 ",Private
BillionToOne,https://www.crunchbase.com/organization/billiontoone,"Biotechnology, Genetics, Health Care, Medical","Biotechnology, Health Care, Science and Engineering",BillionToOne's mission is to make prenatal testing safe and affordable for every expecting mother.,https://www.billiontoone.com,2,Seed,"$2,400,000 ",9/15/17,Seed,"$2,520,000 ",Private
Ligandal,https://www.crunchbase.com/organization/ligandal-technology,"Biotechnology, Genetics, Nanotechnology","Biotechnology, Health Care, Science and Engineering",Ligandal's mission is to cure diseases and enable precision medicine through next-generation nanoscale delivery solutions.,http://www.ligandal.com,5,Seed,,5/31/17,Seed,"$844,000 ",Private
Nora Therapeutics,https://www.crunchbase.com/organization/nora-therapeutics,"Biotechnology, Health Care, Medical Device","Biotechnology, Health Care, Science and Engineering",Nora Therapeutics is a specialty biopharmaceutical company developing therapeutics to address clinical unmet needs in reproductive medicine.,http://www.noratherapeutics.com,6,Seed,,5/13/15,Seed,"$36,812,000 ",Private
New Wave Foods,https://www.crunchbase.com/organization/new-wave-foods,"Advanced Materials, Biotechnology","Biotechnology, Manufacturing, Science and Engineering",New Wave Foods is the leader in sustainable seafood.,http://www.newwavefoods.com/,4,Seed,,2/21/18,Seed,"$250,000 ",Private
Apostle Inc,https://www.crunchbase.com/organization/apostle-inc,Biotechnology,"Biotechnology, Science and Engineering","At Apostle, we aim to develop technologies to fundamentally improve the efficiency and accuracy of liquid biopsy.",http://apostlebio.com,1,Seed,"$2,350,000 ",3/1/17,Seed,"$2,350,000 ",Private
Boost Biomes,https://www.crunchbase.com/organization/boost-biomes,Biotechnology,"Biotechnology, Science and Engineering",Boost Biomes is a platform technology company.,http://boostbiomes.com/,1,Seed,"$2,050,000 ",2/27/18,Seed,"$2,050,000 ",Private
Culture Robotics,https://www.crunchbase.com/organization/culture-robotics,"Biotechnology, Industrial Automation, Robotics","Biotechnology, Hardware, Manufacturing, Science and Engineering, Software",Culture Robotics builds automated tools for fermentation.,https://culturerobotics.com/,1,Seed,"$120,000 ",1/4/18,Seed,"$120,000 ",Private
Profility,https://www.crunchbase.com/organization/profility,"Biotechnology, Life Science","Biotechnology, Science and Engineering","Profility offers support and training, process analysis, and software support description services, including requirements analysis.",http://profility.com,2,Seed,,7/1/17,Seed,"$1,687,820 ",Private
Kalocyte,https://www.crunchbase.com/organization/kalocyte,Biotechnology,"Biotechnology, Science and Engineering",A revolution in trauma care,http://kalocyte.com/wordpress/,1,Seed,"$800,000 ",6/5/18,Seed,"$800,000 ",Private
Persephone Biome,https://www.crunchbase.com/organization/persephone-biome,"Biotechnology, Health Care, Medical","Biotechnology, Health Care, Science and Engineering",Persephone Biome is trying to retune the gut microbiome to help cancer drugs work.,http://persephonebiome.com/,1,Seed,"$120,000 ",1/4/18,Seed,"$120,000 ",Private
Monica Healthcare,https://www.crunchbase.com/organization/monica-healthcare,"Biotechnology, Health Care, Wearables","Biotechnology, Consumer Electronics, Hardware, Health Care, Science and Engineering",Monica Healthcare is developing a series of wearable devices.,http://www.monicahealthcare.com,4,M&A,"$3,000,000 ",2/4/15,Seed,"$5,850,000 ",Private
Ribometrix,https://www.crunchbase.com/organization/ribometrix,"Biotechnology, Life Science, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Ribometrix is a platform therapeutics company that discovers small molecule drugs to treat human diseases. ,http://www.ribometrix.com/,1,Seed,"$7,500,000 ",10/31/17,Seed,"$7,500,000 ",Private
Keriton,https://www.crunchbase.com/organization/keriton,"Analytics, Biotechnology, Child Care, Health Care, Health Diagnostics, Internet of Things","Biotechnology, Data and Analytics, Health Care, Internet Services, Science and Engineering","NICU Feeding Management, Lactation Analytics & Patient Engagement",https://www.keriton.com/,2,Seed,"$1,000,000 ",2/16/17,Seed,"$1,000,000 ",Private
ISOThrive,https://www.crunchbase.com/organization/isothrive,"Animal Feed, Biotechnology, Dietary Supplements, Nutrition, Personal Health, Wellness","Agriculture and Farming, Biotechnology, Food and Beverage, Health Care, Science and Engineering",Curating the microbiome to support human and animal health.  ,https://www.isothrive.com/,2,Seed,"$2,000,000 ",7/25/15,Seed,"$3,400,000 ",Private
Correlia Biosystems,https://www.crunchbase.com/organization/correlia-biosystems,"Biotechnology, Health Care, Health Diagnostics, Life Science","Biotechnology, Health Care, Science and Engineering",Rapid Diagnostics and Proteomics,http://www.correliabio.com,5,Seed,"$120,000 ",1/4/18,Seed,"$995,000 ",Private
Bikanta,https://www.crunchbase.com/organization/bikanta,"Biotechnology, Health Diagnostics, Nanotechnology","Biotechnology, Health Care, Science and Engineering",Bikanta is introducing a revolutionary nanodiamond-based technology.,http://bikanta.com/,1,Seed,"$1,700,000 ",8/18/14,Seed,"$1,700,000 ",Private
Algama,https://www.crunchbase.com/organization/algama,"Biotechnology, Food and Beverage, Food Processing, Life Science","Biotechnology, Food and Beverage, Science and Engineering",ALGAMA is a daily food product company that harnesses the unique potential of microalgae.,http://www.algamafoods.com,4,Seed,"€3,500,000",5/1/16,Seed,"€3,550,000",Private
SyntheX,https://www.crunchbase.com/organization/synthex,"Biotechnology, Life Science, Pharmaceutical, Therapeutics","Biotechnology, Health Care, Science and Engineering",SyntheX is a biotechnology firm developing highly specific drugs for previously undruggable targets to treat cancer and rare diseases.,http://www.synthexlabs.com/,3,Seed,"$6,150,000 ",3/1/17,Seed,"$6,400,000 ",Private
Hexafly,https://www.crunchbase.com/organization/hexafly,"Biotechnology, Organic, Sustainability","Biotechnology, Science and Engineering, Sustainability","Hexafly develops material sources from insect farming for aqua feed, chitin, and plant nutrition industries. ",http://www.hexafly.co/,3,Seed,"€1,100,000",2/14/18,Seed,"$2,694,124 ",Private
Vena Medical,https://www.crunchbase.com/organization/vena-medical,"Biotechnology, Medical, Medical Device","Biotechnology, Health Care, Science and Engineering",Vena Medical creating a forward viewing imaging microcatheter that allows physicians to see inside patient blood vessels.,https://www.venamed.ca,5,Seed,"$120,000 ",1/4/18,Seed,"$222,612 ",Private
nextProtein,https://www.crunchbase.com/organization/nextprotein,"Agriculture, Animal Feed, Biotechnology, Waste Management","Agriculture and Farming, Biotechnology, Science and Engineering, Sustainability",nextProtein is developing a new large scale technology that produce a sustainable source of protein.,http://www.nextprotein.co,1,Seed,"€1,300,000",1/24/17,Seed,"€1,300,000",Private
Rex Animal Health,https://www.crunchbase.com/organization/rex-animal-health,"Bioinformatics, Biotechnology, Medical, Veterinary","Biotechnology, Data and Analytics, Health Care, Science and Engineering",Rex is take care animal health to the 21st century by making veterinary medicine and husbandry data driven.,http://www.rexanimalhealth.com/,3,Seed,,6/21/17,Seed,"$145,000 ",Private
Cognixion,https://www.crunchbase.com/organization/cognixion,"Artificial Intelligence, Augmented Reality, Biotechnology, Neuroscience, Software","Artificial Intelligence, Biotechnology, Data and Analytics, Hardware, Science and Engineering, Software","Neurotech A.I. company based in Toronto, Canada and Santa Barbara, California.",https://www.cognixion.com/,1,Seed,"$1,000,000 ",2/7/18,Seed,"$1,000,000 ",Private
NemaMetrix,https://www.crunchbase.com/organization/nemametrix,"Biotechnology, Life Science, Therapeutics","Biotechnology, Health Care, Science and Engineering",NemaMetrix Is a research and drug discovery platform.,http://nemametrix.com/,3,Seed,"$600,000 ",3/22/17,Seed,"$1,650,000 ",Private
Carbiotix AB,https://www.crunchbase.com/organization/carbiotix-ab,"Biotechnology, Health Care, Personal Health","Biotechnology, Health Care, Science and Engineering","Carbiotix is a biotechnology company focused on simple, affordable and effective gut health solutions and microbiome therapeutics.",https://carbiotix.com/,3,Seed,"€450,000",6/1/18,Seed,"€750,000",Private
Allergy Amulet,https://www.crunchbase.com/organization/allergy-amulet,"Biotechnology, Health Care","Biotechnology, Health Care, Science and Engineering","The Allergy Amulet is a rapid, portable, point-of-consumption food allergen and ingredient detection device.",http://www.allergyamulet.com,2,Seed,"$1,100,000 ",10/7/16,Seed,"$1,225,000 ",Private
MicroSynbiotiX,https://www.crunchbase.com/organization/microsynbiotix,"Aquaculture, Biotechnology, Therapeutics","Agriculture and Farming, Biotechnology, Health Care, Science and Engineering",MicroSynbiotiX is engaged in the development of a technology solution that eliminates the excessive use of antibiotics in farmed fish.,https://www.microsynbiotix.com,5,Seed,"€1,000,000",9/5/17,Seed,"$1,622,427 ",Private
Nucleix,https://www.crunchbase.com/organization/nucleix,"Biotechnology, Health Care, Information Technology","Biotechnology, Health Care, Information Technology, Science and Engineering","Nucleix develops, manufactures, and markets innovative non-invasive molecular cancer diagnostic tests.",http://nucleix.com,2,Seed,"$3,000,000 ",5/24/16,Seed,"$3,059,211 ",Private
TILT Biotherapeutics,https://www.crunchbase.com/organization/tilt-biotherapeutics,Biotechnology,"Biotechnology, Science and Engineering",TILT Biotherapeutics Ltd is the leading company globally working in the area of enabling tumor.,http://tiltbio.com/,1,Seed,"€10,000,000",12/14/16,Seed,"€10,000,000",Private
SpyBiotech,https://www.crunchbase.com/organization/spybiotech,"Biotechnology, Life Science, Medical","Biotechnology, Health Care, Science and Engineering",SpyBiotech has developed a way to bond antigens to viruses and other particles to make vaccines,http://spybiotech.com,1,Seed,"£4,000,000",3/30/17,Seed,"£4,000,000",Private
Sixfold Bioscience,https://www.crunchbase.com/organization/sixfold-bioscience,"Biotechnology, Nanotechnology, Therapeutics","Biotechnology, Health Care, Science and Engineering",Delivering cures with hyper-precise nanoparticles. ,https://www.sixfold.bio/,2,Seed,,4/14/18,Seed,"$120,000 ",Private
Zephyrus Biosciences,https://www.crunchbase.com/organization/zephyrus-biosciences,"Biotechnology, Hardware, Health Care","Biotechnology, Hardware, Health Care, Science and Engineering",Zephyrus Biosciences provides research tools to enable protein analysis at the single cell level.,http://www.zephyrusbio.com,3,M&A,"$1,500,000 ",9/10/14,Seed,"$1,860,000 ",Private
Agribody Technologies,https://www.crunchbase.com/organization/agribody-technologies,"Biotechnology, Genetics, Intellectual Property","Biotechnology, Health Care, Professional Services, Science and Engineering",Emerging ag biotech company licensing & co-developing IP covering a key genetic switch with broad applications to improve crop yields.,http://www.agribodytech.com,1,Seed,"$900,000 ",12/25/17,Seed,"$900,000 ",Private
20n,https://www.crunchbase.com/organization/20n,Biotechnology,"Biotechnology, Science and Engineering",A computational synthetic biology company.,http://20n.com/,2,Seed,"$2,100,000 ",5/1/15,Seed,"$2,220,000 ",Private
OneSkin Technology,https://www.crunchbase.com/organization/oneskin,"Biotechnology, Cosmetics, Test and Measurement","Biotechnology, Consumer Goods, Data and Analytics, Science and Engineering","Animal-free, data-driven, faster and precise discovery of anti-aging molecules for skin care.",https://www.oneskintechnologies.com/,2,Seed,"$626,594 ",5/21/17,Seed,"$626,594 ",Private
